english	translation	category	sub_category	source
Study		actions	item	Fire
Remove		actions	item	Oak lectern
Lay		actions	item	Bird snare
Activate		actions	item	Magic box
Crush		actions	item	Smouldering heart
Eat-from		actions	item	Smouldering pile of flesh
Talk-to		actions	npc	Tool Leprechaun
Exchange		actions	npc	Tool Leprechaun
Attack		actions	npc	Molanisk
Trade		actions	npc	Hudo
Travel		actions	npc	Rug Merchant
Pet		actions	npc	Dog
Dyes		actions	npc	Aggie
Challenge		actions	npc	Yama
Guess-letter		actions	npc	Hangman game
Banish		actions	npc	Hangman game
Reset		actions	npc	Hangman game
Hit		actions	npc	Combat stone
Dismiss		actions	npc	Dr Jekyll
Rewards		actions	npc	Emblem Trader
Skull		actions	npc	Emblem Trader
Pay		actions	npc	Ayesha
Armour		actions	npc	Ironman tutor
Setup		actions	npc	Ironman tutor
Check-pets		actions	npc	Leagues Tutor
Collect-items		actions	npc	Leagues Tutor
Claim-trophies		actions	npc	Leagues Tutor
Pick-up		actions	npc	Dark core
Metamorphosis		actions	npc	Dark core
Pick		actions	npc	Strange plant
Grab		actions	npc	Suspect
Pop		actions	npc	Balloon Animal
Kill		actions	npc	Pheasant
Disturb		actions	npc	Phosani's Nightmare
Gauntlets		actions	npc	Avan
Lure		actions	npc	Rod Fishing spot
Bait		actions	npc	Rod Fishing spot
Pickpocket		actions	npc	Guard
Assignment		actions	npc	Vannaka
Search		actions	npc	Entomologist
Confront		actions	npc	Mi-Gor
Transport		actions	npc	Brother Tranquility
Intimidate		actions	npc	Zombie swab
Fish		actions	npc	Fishing spot
Smash-ice		actions	npc	Ice block
Shear		actions	npc	Sheep
Knock-Out		actions	npc	Bandit
Bank		actions	npc	Banker
Collect		actions	npc	Banker
Check-Approval		actions	npc	Arnor
Tuxedo-time		actions	npc	Larry
Mines		actions	npc	Dartog
Cellar		actions	npc	Dartog
Dream		actions	npc	Dominic Onion
Take-boat		actions	npc	Monk of Entrana
Inspect		actions	npc	Lumbridge Guide
Trade-General-Store		actions	npc	Razmire Keelgan
Trade-Builders-Store		actions	npc	Razmire Keelgan
Haircut		actions	npc	Hairdresser
Shave		actions	npc	Hairdresser
Makeover		actions	npc	Makeover Mage
Talk-To		actions	npc	Tarquin
Quick-falcon		actions	npc	Matthias
Retrieve		actions	npc	Gyr Falcon
Give-Sword		actions	npc	Tindel Marchant
Mine		actions	npc	Elemental rock
Push		actions	npc	Trolley
Pull		actions	npc	Trolley
Big-push		actions	npc	Trolley
Place		actions	npc	Trolley
Claim-arrows		actions	npc	Rantz
Inflate		actions	npc	Swamp toad
Pluck		actions	npc	Chompy bird
Shout-to		actions	npc	Nickolaus
Quick-travel		actions	npc	Desert eagle
Walk-past		actions	npc	Eagle
Threaten		actions	npc	Kebbit
Small Net		actions	npc	Fishing spot
