english	translation	category	sub_category	source
Big mysterious crate. You wonder what could be inside.	神秘的大箱子。你想知道里面可能有什么。 [shen mi de da xiang zi 。 ni xiang zhi dao li mian ke neng you shen me 。]	examine	object	Crate
Looks and smells like a place where goblins live.	看起来和闻起来都像妖精居住的地方。 [kan qi lai he wen qi lai dou xiang yao jing ju zhu de di fang 。]	examine	object	Cave Entrance
The door is closed.	门关着。 [men guan zhe 。]	examine	object	Door
A powerful ranging device, unfortunately not working.	一个强大的测距装置，不幸的是不起作用。 [yi ge qiang da de ce ju zhuang zhi ， bu xing de shi bu qi zuo yong 。]	examine	object	Broken multicannon
A powerful ranging device that fires metal balls.	一种发射金属球的强大测距装置。 [yi zhong fa she jin shu qiu de qiang da ce ju zhuang zhi 。]	examine	object	Dwarf multicannon
The cannon is built on here.	大炮就建在这里。 [da pao jiu jian zai zhe li 。]	examine	object	Cannon base
The mounting for the multicannon.	多加农炮的安装。 [duo jia nong pao de an zhuang 。]	examine	object	Cannon stand
The barrels of the multicannon.	多管大炮的炮管。 [duo guan da pao de pao guan 。]	examine	object	Cannon barrels
I can climb down this.	我可以从这个爬下来。 [wo ke yi cong zhe ge pa xia lai 。]	examine	object	Ladder
I can climb up this.	这个我可以爬上去 [zhe ge wo ke yi pa shang qu]	examine	object	Ladder
A pile of rocks is blocking my path.	一堆石头挡住了我的去路。 [yi dui shi tou dang zhu le wo de qu lu 。]	examine	object	Rock pile
Mud caved in from above.	泥土从上面塌陷。 [ni tu cong shang mian ta xian 。]	examine	object	Mud pile
Intended to keep the goblins away from the mines.	目的是让妖精远离地雷。 [mu di shi rang yao jing yuan li di lei 。]	examine	object	Railing
A broken rail.	一根破损的铁轨。 [yi gen po sun de tie gui 。]	examine	object	Railing
Its eyes stare off into the distance...	它的眼睛凝视着远方…… [ta de yan jing ning shi zhe yuan fang ……]	examine	object	Mysterious statue
The door is shut.	门关着。 [men guan zhe 。]	examine	object	Door
Unusually lumpy looking.	看起来异常凹凸不平。 [kan qi lai yi chang ao tu bu ping 。]	examine	object	Sacks
Seems to be some kind of clock part.	似乎是某种时钟部件。 [si hu shi mou zhong shi zhong bu jian 。]	examine	object	Clock spindle
Yup, definitely a lever.	是的，绝对是一个杠杆。 [shi de ， jue dui shi yi ge gang gan 。]	examine	object	Lever
Stops people walking past.	阻止人们走过。 [zu zhi ren men zou guo 。]	examine	object	Gate
Animals have no table manners.	动物没有餐桌礼仪。 [dong wu mei you can zhuo li yi 。]	examine	object	Food trough
Looks like an outlet pipe to the lake.	看起来像通往湖的排水管。 [kan qi lai xiang tong wang hu de pai shui guan 。]	examine	object	Wall Pipe
I can see fish swimming in the water.	我可以看到鱼在水里游动。 [wo ke yi kan dao yu zai shui li you dong 。]	examine	object	Fishing spot
It seems to sparkle.	似乎闪闪发光。 [si hu shan shan fa guang 。]	examine	object	Water
I can see really big fish swimming in the water.	我可以看到很大的鱼在水里游来游去。 [wo ke yi kan dao hen da de yu zai shui li you lai you qu 。]	examine	object	Fishing spot
Big Dave is fishing here.	大戴夫在这里钓鱼。 [da dai fu zai zhe li diao yu 。]	examine	object	Fishing spot
Joshua is fishing here.	约书亚在这里钓鱼。 [yue shu ya zai zhe li diao yu 。]	examine	object	Fishing spot
A wooden gate.	一扇木门。 [yi shan mu men 。]	examine	object	Gate
Hmm... I wonder if it's loose enough to get through.	嗯...我想知道它是否足够松以便能够穿过。 [n ... wo xiang zhi dao ta shi fou zu gou song yi bian neng gou chuan guo 。]	examine	object	Loose Railing
It's locked.	它被锁了。 [ta bei suo le 。]	examine	object	Gate
It's a flight of stairs.	这是一段楼梯。 [zhe shi yi duan lou ti 。]	examine	object	Stairs
Known commonly as Red worm vine.	俗称红虫藤。 [su cheng hong chong teng 。]	examine	object	Vine
A fancy hole in the wall.	墙上有一个奇特的洞。 [qiang shang you yi ge qi te de dong 。]	examine	object	Door
A fancy hole in the ceiling.	天花板上有一个奇特的洞。 [tian hua ban shang you yi ge qi te de dong 。]	examine	object	Ladder
A shrine to chaos.	混乱的神殿。 [hun luan de shen dian 。]	examine	object	Chaos altar
Is there something in there?	里面有东西吗？ [li mian you dong xi ma ？]	examine	object	Giant crystal
Used for storage.	用于存储。 [yong yu cun chu 。]	examine	object	Crate
Where bees live.	蜜蜂居住的地方。 [mi feng ju zhu de di fang 。]	examine	object	Beehive
Handy for boarding boats.	方便登船。 [fang bian deng chuan 。]	examine	object	Gangplank
Sturdy looking door.	门看起来坚固。 [men kan qi lai jian gu 。]	examine	object	Large door
Securely fastened shut.	牢固地关闭。 [lao gu di guan bi 。]	examine	object	Large door
I wonder what's inside...	我想知道里面是什么... [wo xiang zhi dao li mian shi shen me ...]	examine	object	Chest
Looks secure.	看起来很安全。 [kan qi lai hen an quan 。]	examine	object	Prison Gate
Seems very old...	看起来很老了... [kan qi lai hen lao le ...]	examine	object	Lever bracket
I guess you pull it...	我猜你拉... [wo cai ni la ...]	examine	object	Lever
A wrought iron gate.	一扇锻铁门。 [yi shan duan tie men 。]	examine	object	Gate
I don't like the look of this!	我不喜欢这个样子！ [wo bu xi huan zhe ge yang zi ！]	examine	object	Lever
A dark flight of stairs.	一段黑暗的楼梯。 [yi duan hei an de lou ti 。]	examine	object	Stairs
Don't you open that trapdoor!	你别打开那扇活板门！ [ni bie da kai na shan huo ban men ！]	examine	object	Trapdoor
I can climb this.	我可以爬这个。 [wo ke yi pa zhe ge 。]	examine	object	Ladder
A sturdy door.	一扇坚固的门。 [yi shan jian gu de men 。]	examine	object	Door
I wonder what's inside.	我想知道里面是什么。 [wo xiang zhi dao li mian shi shen me 。]	examine	object	Closed chest
Perhaps I should search it.	也许我应该搜索一下。 [ye xu wo ying gai sou suo yi xia 。]	examine	object	Open chest
I wonder what that's there for...	我想知道那是做什么用的... [wo xiang zhi dao na shi zuo shen me yong de ...]	examine	object	Trapdoor
An appliance for cooking with.	一种用来做饭的器具。 [yi zhong yong lai zuo fan de qi ju 。]	examine	object	Cooking range
A party balloon.	派对气球。 [pai dui qi qiu 。]	examine	object	Party Balloon
Aren't they pretty?	她们不漂亮吗？ [ta men bu piao liang ma ？]	examine	object	Party Balloon
