english	translation	category	sub_category	source
Tool Leprechaun	工具妖精 [gong ju yao jing]	name	npc	Tool Leprechaun
Molanisk	莫拉尼斯克 [mo la ni si ke]	name	npc	Molanisk
Aberrant spectre	异常幽灵 [yi chang you ling]	name	npc	Aberrant spectre
Nechryael	内奇瑞尔 [nei qi rui er]	name	npc	Nechryael
Twig	枝条 [zhi tiao]	name	npc	Twig
Death spawn	死亡产卵 [si wang chan luan]	name	npc	Death spawn
Hudo	胡多 [hu duo]	name	npc	Hudo
Piles	桩 [zhuang]	name	npc	Piles
Rometti	罗梅蒂 [luo mei di]	name	npc	Rometti
Gulluck	古勒克 [gu lei ke]	name	npc	Gulluck
Heckel Funch	赫克尔·丰奇 [he ke er · feng qi]	name	npc	Heckel Funch
Rug Merchant	地毯商人 [di tan shang ren]	name	npc	Rug Merchant
Monkey	猴 [hou]	name	npc	Monkey
Zombie	僵尸 [jiang shi]	name	npc	Zombie
Summoned Zombie	召唤僵尸 [zhao huan jiang shi]	name	npc	Summoned Zombie
Skeleton	骨骼 [gu ge]	name	npc	Skeleton
Skeleton Mage	骷髅法师 [ku lou fa shi]	name	npc	Skeleton Mage
Ghost	鬼 [gui]	name	npc	Ghost
Rock Crab	岩蟹 [yan xie]	name	npc	Rock Crab
Rocks	岩石 [yan shi]	name	npc	Rocks
Hellhound	地狱犬 [di yu quan]	name	npc	Hellhound
Wolf	狼 [lang]	name	npc	Wolf
White wolf	白狼 [bai lang]	name	npc	White wolf
Big Wolf	大灰狼 [da hui lang]	name	npc	Big Wolf
Dog	狗 [gou]	name	npc	Dog
Wild dog	野狗 [ye gou]	name	npc	Wild dog
Guard dog	看门狗 [kan men gou]	name	npc	Guard dog
Ignatius Vulcan	伊格内修斯·瓦肯 [yi ge nei xiu si · wa ken]	name	npc	Ignatius Vulcan
Aggie	阿吉 [a ji]	name	npc	Aggie
Yama	阎王 [yan wang]	name	npc	Yama
Left head	左头 [zuo tou]	name	npc	Left head
Middle head	中头 [zhong tou]	name	npc	Middle head
Right head	右头 [you tou]	name	npc	Right head
Kalphite Queen	卡菲特女王 [ka fei te nv wang]	name	npc	Kalphite Queen
Tentacle	触手 [chu shou]	name	npc	Tentacle
Hobgoblin	妖精 [yao jing]	name	npc	Hobgoblin
Troll	巨魔 [ju mo]	name	npc	Troll
Huge spider	巨大的蜘蛛 [ju da de zhi zhu]	name	npc	Huge spider
Ogre	食人魔 [shi ren mo]	name	npc	Ogre
Baby red dragon	红龙宝宝 [hong long bao bao]	name	npc	Baby red dragon
Kalphite Soldier	卡法特士兵 [ka fa te shi bing]	name	npc	Kalphite Soldier
Steel dragon	钢龙 [gang long]	name	npc	Steel dragon
Dagannoth	达甘诺斯 [da gan nuo si]	name	npc	Dagannoth
Tok-Xil	托克西里 [tuo ke xi li]	name	npc	Tok-Xil
Demon	恶魔 [e mo]	name	npc	Demon
Rocnar	罗克纳尔 [luo ke na er]	name	npc	Rocnar
Hangman game	刽子手游戏 [gui zi shou you xi]	name	npc	Hangman game
Treasure fairy	宝仙 [bao xian]	name	npc	Treasure fairy
Jacky Jester	杰基·杰斯特 [jie ji · jie si te]	name	npc	Jacky Jester
Combat stone	战斗石 [zhan dou shi]	name	npc	Combat stone
Rick	瑞克 [rui ke]	name	npc	Rick
Maid	女佣 [nv yong]	name	npc	Maid
Cook	厨师 [chu shi]	name	npc	Cook
Butler	管家 [guan jia]	name	npc	Butler
Demon butler	恶魔管家 [e mo guan jia]	name	npc	Demon butler
Jungle Wolf	丛林狼 [cong lin lang]	name	npc	Jungle Wolf
Macaroni Penguin	通心粉企鹅 [tong xin fen qi e]	name	npc	Macaroni Penguin
Butterfly	蝴蝶 [hu die]	name	npc	Butterfly
King Black Dragon	黑龙王 [hei long wang]	name	npc	King Black Dragon
