english	translation	category	sub_category	source
Crate	箱 [xiang]	name	object	Crate
Cave Entrance	洞穴入口 [dong xue ru kou]	name	object	Cave Entrance
Door	门 [men]	name	object	Door
Broken multicannon	损坏的多联炮 [sun huai de duo lian pao]	name	object	Broken multicannon
Dwarf multicannon	矮人多管炮 [ai ren duo guan pao]	name	object	Dwarf multicannon
Cannon base	炮座 [pao zuo]	name	object	Cannon base
Cannon stand	炮台 [pao tai]	name	object	Cannon stand
Cannon barrels	炮筒 [pao tong]	name	object	Cannon barrels
Ladder	梯子 [ti zi]	name	object	Ladder
Rock pile	磊 [lei]	name	object	Rock pile
Mud pile	泥浆堆 [ni jiang dui]	name	object	Mud pile
Railing	栏杆 [lan gan]	name	object	Railing
Mysterious statue	神秘雕像 [shen mi diao xiang]	name	object	Mysterious statue
Sacks	麻袋 [ma dai]	name	object	Sacks
Clock spindle	钟表主轴 [zhong biao zhu zhou]	name	object	Clock spindle
Lever	杠杆 [gang gan]	name	object	Lever
Gate	门 [men]	name	object	Gate
Food trough	食槽 [shi cao]	name	object	Food trough
Wall Pipe	穿墙管 [chuan qiang guan]	name	object	Wall Pipe
Fishing spot	钓鱼点 [diao yu dian]	name	object	Fishing spot
Water	水 [shui]	name	object	Water
Loose Railing	栏杆松动 [lan gan song dong]	name	object	Loose Railing
Stairs	楼梯 [lou ti]	name	object	Stairs
Vine	藤 [teng]	name	object	Vine
Chaos altar	混沌祭坛 [hun dun ji tan]	name	object	Chaos altar
Giant crystal	巨型水晶 [ju xing shui jing]	name	object	Giant crystal
Beehive	蜂窝 [feng wo]	name	object	Beehive
Gangplank	跳板 [tiao ban]	name	object	Gangplank
Large door	大门 [da men]	name	object	Large door
Chest	胸部 [xiong bu]	name	object	Chest
Prison Gate	监狱门 [jian yu men]	name	object	Prison Gate
Lever bracket	杠杆支架 [gang gan zhi jia]	name	object	Lever bracket
Trapdoor	活板门 [huo ban men]	name	object	Trapdoor
Closed chest	封闭的胸部 [feng bi de xiong bu]	name	object	Closed chest
Open chest	打开宝箱 [da kai bao xiang]	name	object	Open chest
Cooking range	烹饪范围 [peng ren fan wei]	name	object	Cooking range
Party Balloon	派对气球 [pai dui qi qiu]	name	object	Party Balloon
Compost heap	堆肥堆 [dui fei dui]	name	object	Compost heap
Fountain	喷泉 [pen quan]	name	object	Fountain
Rocks	岩石 [yan shi]	name	object	Rocks
Bookcase	书柜 [shu gui]	name	object	Bookcase
Wall	墙 [qiang]	name	object	Wall
Strange machine	奇怪的机器 [qi guai de ji qi]	name	object	Strange machine
Incinerator	焚烧炉 [fen shao lu]	name	object	Incinerator
Gnome glider	侏儒滑翔机 [zhu ru hua xiang ji]	name	object	Gnome glider
Crashed glider	坠毁的滑翔机 [zhui hui de hua xiang ji]	name	object	Crashed glider
Blurberry bar	蓝莓酒吧 [lan mei jiu ba]	name	object	Blurberry bar
Hollowed rock	空心岩石 [kong xin yan shi]	name	object	Hollowed rock
Lamp	灯 [deng]	name	object	Lamp
Candles	蜡烛 [la zhu]	name	object	Candles
Chandelier	枝形吊灯 [zhi xing diao deng]	name	object	Chandelier
Ice Light	冰光 [bing guang]	name	object	Ice Light
Sail	帆 [fan]	name	object	Sail
Figurehead	傀儡 [kui lei]	name	object	Figurehead
Pile of rope	一堆绳子 [yi dui sheng zi]	name	object	Pile of rope
Ship's ladder	船梯 [chuan ti]	name	object	Ship's ladder
Ship's wheel	船的轮子 [chuan de lun zi]	name	object	Ship's wheel
Winch	绞盘 [jiao pan]	name	object	Winch
Anchor	锚 [mao]	name	object	Anchor
Hoisted sail	扬起的风帆 [yang qi de feng fan]	name	object	Hoisted sail
Plough	犁 [li]	name	object	Plough
Scarecrow	稻草人 [dao cao ren]	name	object	Scarecrow
Hay bales	干草捆 [gan cao kun]	name	object	Hay bales
Haystack	草垛 [cao duo]	name	object	Haystack
Eggs	鸡蛋 [ji dan]	name	object	Eggs
Compost	堆肥 [dui fei]	name	object	Compost
Hay bale	干草捆 [gan cao kun]	name	object	Hay bale
Broken cart	车坏了 [che huai le]	name	object	Broken cart
Cart	大车 [da che]	name	object	Cart
Log pile	原木堆 [yuan mu dui]	name	object	Log pile
Mud patch	泥地 [ni di]	name	object	Mud patch
Mudpile	泥堆 [ni dui]	name	object	Mudpile
Potato	土豆 [tu dou]	name	object	Potato
Wheat	小麦 [xiao mai]	name	object	Wheat
Broken cart wheel	车轮坏了 [che lun huai le]	name	object	Broken cart wheel
Cabinet	内阁 [nei ge]	name	object	Cabinet
Drawers	抽屉 [chou ti]	name	object	Drawers
Boxes	盒子 [he zi]	name	object	Boxes
Barrel	桶 [tong]	name	object	Barrel
Cupboard	橱柜 [chu gui]	name	object	Cupboard
