english	translation	category	sub_category	source
All	全部 [quan bu]	interface	chatButtons	
Game 	游戏 [you xi]	interface	chatButtons	
Public 	民众 [min zhong]	interface	chatButtons	
Private 	私人的 [si ren de]	interface	chatButtons	
 On	在 [zai]	interface	chatButtons	
Channel 	渠道 [qu dao]	interface	chatButtons	
Clan 	氏族 [shi zu]	interface	chatButtons	
Trade 	贸易 [mao yi]	interface	chatButtons	
Group 	团体 [tuan ti]	interface	chatButtons	
 <colNum0>Autochat</col>		interface	chatButtons	
 <colNum0>Friends</col>		interface	chatButtons	
 <colNum0>Filtered</col>		interface	chatButtons	
 <colNum0>Hide</col>		interface	chatButtons	
 <colNum0>Off</col>		interface	chatButtons	
Combat Achievements - Overview	战斗成就 - 概述 [zhan dou cheng jiu  -  gai shu]	interface	combAchvmt	
Total Points: <Num0> - Next unlock in <Num1> points		interface	combAchvmt	
Difficulty Tiers	难度等级 [nan du deng ji]	interface	combAchvmt	
Combat Profile - <!PLAYER_NAME0>	战斗资料 - <!PLAYER_NAME0> [zhan dou zi liao  - <!PLAYER_NAME0>]	interface	combAchvmt	
Easy	简单的 [jian dan de]	interface	combAchvmt	
Medium	中等的 [zhong deng de]	interface	combAchvmt	
Hard	难的 [nan de]	interface	combAchvmt	
Elite	精英 [jing ying]	interface	combAchvmt	
Master	掌握 [zhang wo]	interface	combAchvmt	
Grandmaster	棋圣 [qi sheng]	interface	combAchvmt	
Tasks Completed:	已完成任务： [yi wan cheng ren wu ：]	interface	combAchvmt	
Boss Kill Count:	Boss 击杀数： [Boss  ji sha shu ：]	interface	combAchvmt	
Skilling Boss Kill Count:	技能 Boss 击杀次数： [ji neng  Boss  ji sha ci shu ：]	interface	combAchvmt	
Raid Completions:	突袭完成情况： [tu xi wan cheng qing kuang ：]	interface	combAchvmt	
Top Boss:	最高老板： [zui gao lao ban ：]	interface	combAchvmt	
<!ANY_TRANSLATED0> (<Num0>)		interface	combAchvmt	
Top Skilling Boss:	顶级技能老板： [ding ji ji neng lao ban ：]	interface	combAchvmt	
Top Raid:	顶级突袭： [ding ji tu xi ：]	interface	combAchvmt	
Nothing!	没有什么！ [mei you shen me ！]	interface	combAchvmt	
Overview	概述 [gai shu]	interface	combAchvmt	
Tasks	任务 [ren wu]	interface	combAchvmt	
Bosses	老板们 [lao ban men]	interface	combAchvmt	
Rewards	奖励 [jiang li]	interface	combAchvmt	
Combat Achievements - Tasks	战斗成就 - 任务 [zhan dou cheng jiu  -  ren wu]	interface	combAchvmt	
There are no tasks available to you that match your filters.	没有与您的过滤器匹配的可用任务。 [mei you yu nin de guo lv qi pi pei de ke yong ren wu 。]	interface	combAchvmt	
Filters	过滤器 [guo lv qi]	interface	combAchvmt	
Tier:	等级： [deng ji ：]	interface	combAchvmt	
All	全部 [quan bu]	interface	combAchvmt	
Type:	类型： [lei xing ：]	interface	combAchvmt	
Monster:	怪物： [guai wu ：]	interface	combAchvmt	
Completed:	完全的： [wan quan de ：]	interface	combAchvmt	
Noxious Foe	有毒的敌人 [you du de di ren]	interface	combAchvmt	
Barrows Novice	巴罗斯新手 [ba luo si xin shou]	interface	combAchvmt	
Defence? What Defence?	防御？什么防御？ [fang yu ？ shen me fang yu ？]	interface	combAchvmt	
Big, Black and Fiery	大、黑、火 [da 、 hei 、 huo]	interface	combAchvmt	
The Demonic Punching Bag	恶魔出气筒 [e mo chu qi tong]	interface	combAchvmt	
Bryophyta Novice	苔藓植物新手 [tai xian zhi wu xin shou]	interface	combAchvmt	
Protection from Moss	防止苔藓 [fang zhi tai xian]	interface	combAchvmt	
Preparation Is Key	准备是关键 [zhun bei shi guan jian]	interface	combAchvmt	
A Slow Death	缓慢的死亡 [huan man de si wang]	interface	combAchvmt	
Fighting as Intended II	战斗如意II [zhan dou ru yi II]	interface	combAchvmt	
Deranged Archaeologist Novice	疯狂的考古学家新手 [feng kuang de kao gu xue jia xin shou]	interface	combAchvmt	
The Walking Volcano	行走的火山 [xing zou de huo shan]	interface	combAchvmt	
Into the Den of Giants	进入巨人巢穴 [jin ru ju ren chao xue]	interface	combAchvmt	
A Greater Foe	更大的敌人 [geng da de di ren]	interface	combAchvmt	
Not So Great After All	毕竟不是那么好 [bi jing bu shi na me hao]	interface	combAchvmt	
A Demon's Best Friend	恶魔最好的朋友 [e mo zui hao de peng you]	interface	combAchvmt	
Obor Novice	一带一路新手 [yi dai yi lu xin shou]	interface	combAchvmt	
Sleeping Giant	沉睡的巨人 [chen shui de ju ren]	interface	combAchvmt	
Fighting as Intended	按预期战斗 [an yu qi zhan dou]	interface	combAchvmt	
King Black Dragon Novice	黑龙王新手 [hei long wang xin shou]	interface	combAchvmt	
A Scaley Encounter	鳞次栉比的邂逅 [lin ci zhi bi de xie hou]	interface	combAchvmt	
Shayzien Protector	沙伊恩保护者 [sha yi en bao hu zhe]	interface	combAchvmt	
Giant Mole Novice	巨鼹鼠新手 [ju yan shu xin shou]	interface	combAchvmt	
Sarachnis Novice	蜥蜴新手 [xi yi xin shou]	interface	combAchvmt	
Wintertodt Novice	温特托新手 [wen te tuo xin shou]	interface	combAchvmt	
Mummy!	木乃伊！ [mu nai yi ！]	interface	combAchvmt	
Handyman	勤杂工 [qin za gong]	interface	combAchvmt	
Cosy	舒适 [shu shi]	interface	combAchvmt	
A Slithery Encounter	滑溜溜的邂逅 [hua liu liu de xie hou]	interface	combAchvmt	
Tempoross Novice	临时新手 [lin shi xin shou]	interface	combAchvmt	
Master of Buckets	桶大师 [tong da shi]	interface	combAchvmt	
Calm Before the Storm	暴风雨前的平静 [bao feng yu qian de ping jing]	interface	combAchvmt	
Fire in the Hole!	洞里着火！ [dong li zhao huo ！]	interface	combAchvmt	
Scurrius Novice	斯库里乌斯新手 [si ku li wu si xin shou]	interface	combAchvmt	
Sit Rat	坐鼠 [zuo shu]	interface	combAchvmt	
One by one	逐个 [zhu ge]	interface	combAchvmt	
Elemental Company	元素公司 [yuan su gong si]	interface	combAchvmt	
Let them fight	让他们战斗 [rang ta men zhan dou]	interface	combAchvmt	
Sit Back and Relax	高枕无忧 [gao zhen wu you]	interface	combAchvmt	
Barrows Champion	巴罗斯冠军 [ba luo si guan jun]	interface	combAchvmt	
Can't Touch Me	不能碰我 [bu neng peng wo]	interface	combAchvmt	
Pray for Success	祈求成功 [qi qiu cheng gong]	interface	combAchvmt	
Brutal, Big, Black and Firey	残酷、巨大、黑色和火热 [can ku 、 ju da 、 hei se he huo re]	interface	combAchvmt	
Bryophyta Champion	苔藓植物冠军 [tai xian zhi wu guan jun]	interface	combAchvmt	
Quick Cutter	快速切割机 [kuai su qie ge ji]	interface	combAchvmt	
Demonic Weakening	恶魔削弱 [e mo xue ruo]	interface	combAchvmt	
Demonbane Weaponry	恶魔克星武器 [e mo ke xing wu qi]	interface	combAchvmt	
Chaos Fanatic Champion	混沌狂热冠军 [hun dun kuang re guan jun]	interface	combAchvmt	
Sorry, What Was That?	抱歉，那是什么？ [bao qian ， na shi shen me ？]	interface	combAchvmt	
