english	translation	category	sub_category	source
The body of a Dwarf savaged by Goblins.		examine	item	Dwarf remains
Good for repairing broken cannons.		examine	item	Toolkit
Ammo for the Dwarf Cannon.		examine	item	Cannonball
Construction notes for Dwarf cannon ammo.		examine	item	Nulodion's notes
Used to make cannon ammunition.		examine	item	Ammo mould
An old note book.		examine	item	Instruction manual
The cannon is built on this.		examine	item	Cannon base
The mounting for the multicannon.		examine	item	Cannon stand
The barrels of the multicannon.		examine	item	Cannon barrels
This powers the multicannon.		examine	item	Cannon furnace
A metal railing replacement.		examine	item	Railing
A cloth given to me by Sir Galahad.		examine	item	Holy table napkin
A small tin whistle.		examine	item	Magic whistle
I wonder what happens when I ring it?		examine	item	Grail bell
It will point the way for me.		examine	item	Magic gold feather
A holy and powerful artefact.		examine	item	Holy grail
A cog from some machinery.		examine	item	White cog
Doesn't look very tasty.		examine	item	Rat poison
Wormy.		examine	item	Red vine worm
Hemenster fishing contest trophy.		examine	item	Fishing trophy
Pass to the Hemenster fishing contest.		examine	item	Fishing pass
Drives away all known 6 legged creatures.		examine	item	Insect repellent
It's a bucket of wax.		examine	item	Bucket of wax
A lit spooky candle.		examine	item	Lit black candle
A lit candle.		examine	item	Lit candle
This used to belong to King Arthur.		examine	item	Excalibur
A candle.		examine	item	Candle
A spooky candle.		examine	item	Black candle
I can make some arrows with these.		examine	item	Bronze arrowtips
Opal bolt tips.		examine	item	Opal bolt tips
Pearl bolt tips.		examine	item	Pearl bolt tips
I can make bolts with these.		examine	item	Barb bolttips
I need to find a string for this.		examine	item	Longbow (u)
A wooden arrow shaft.		examine	item	Arrow shaft
A wooden arrow shaft with flights attached.		examine	item	Headless arrow
An unstrung oak shortbow; I need a bowstring for this.		examine	item	Oak shortbow (u)
An unstrung oak longbow; I need a bowstring for this.		examine	item	Oak longbow (u)
An unstrung willow longbow; I need a bowstring for this.		examine	item	Willow longbow (u)
An unstrung willow shortbow; I need a bowstring for this.		examine	item	Willow shortbow (u)
An unstrung maple longbow; I need a bowstring for this.		examine	item	Maple longbow (u)
An unstrung maple shortbow; I need a bowstring for this.		examine	item	Maple shortbow (u)
An unstrung yew longbow; I need a bowstring for this.		examine	item	Yew longbow (u)
An unstrung yew shortbow; I need a bowstring for this.		examine	item	Yew shortbow (u)
An unstrung magic longbow; I need a bowstring for this.		examine	item	Magic longbow (u)
An unstrung magic shortbow; I need a bowstring for this.		examine	item	Magic shortbow (u)
A helmet, as worn by the minions of General Khazard.		examine	item	Khazard helmet
Armour, as worn by the minions of General Khazard.		examine	item	Khazard armour
These keys open the cells at the Khazard fight arena (Used in the Fight Arena quest).		examine	item	Khazard cell keys
A bottle of Khazard's worst brew.		examine	item	Khali brew
Can only be fired from yew, magic, dark or twisted bows.		examine	item	Ice arrows
A lever to open something perhaps?		examine	item	Lever
The power in this staff causes it to vibrate gently.		examine	item	Staff of armadyl
It catches the light! (Quick access into the Temple of Ikov).		examine	item	Shiny key
An amulet made by Lucien.		examine	item	Pendant of lucien
Worn by followers of Armadyl.		examine	item	Armadyl pendant
Magic boots that make you lighter than normal.		examine	item	Boots of lightness
It's very soft!		examine	item	Child's blanket
I need another ingredient to finish this Guam potion.		examine	item	Guam potion (unf)
I need another ingredient to finish this Marrentill potion.		examine	item	Marrentill potion (unf)
I need another ingredient to finish this Tarromin potion.		examine	item	Tarromin potion (unf)
I need another ingredient to finish this Harralander potion.		examine	item	Harralander potion (unf)
I need another ingredient to finish this Ranarr potion.		examine	item	Ranarr potion (unf)
I need another ingredient to finish this Irit potion.		examine	item	Irit potion (unf)
I need another ingredient to finish this Avantoe potion.		examine	item	Avantoe potion (unf)
I need another ingredient to finish this Kwuarm potion.		examine	item	Kwuarm potion (unf)
I need another ingredient to finish this Cadantine potion.		examine	item	Cadantine potion (unf)
I need another ingredient to finish this Dwarf Weed potion.		examine	item	Dwarf weed potion (unf)
I need another ingredient to finish this Torstol potion.		examine	item	Torstol potion (unf)
4 doses of Strength potion.		examine	item	Strength potion(4)
3 doses of Strength potion.		examine	item	Strength potion(3)
2 doses of Strength potion.		examine	item	Strength potion(2)
1 dose of Strength potion.		examine	item	Strength potion(1)
3 doses of Attack potion.		examine	item	Attack potion(3)
2 doses of Attack potion.		examine	item	Attack potion(2)
1 dose of Attack potion.		examine	item	Attack potion(1)
3 doses of restore potion.		examine	item	Restore potion(3)
2 doses of restore potion.		examine	item	Restore potion(2)
1 dose of restore potion.		examine	item	Restore potion(1)
3 doses of Defence potion.		examine	item	Defence potion(3)
2 doses of Defence potion.		examine	item	Defence potion(2)
1 dose of Defence potion.		examine	item	Defence potion(1)
3 doses of Prayer restore potion.		examine	item	Prayer potion(3)
2 doses of Prayer restore potion.		examine	item	Prayer potion(2)
1 dose of Prayer restore potion.		examine	item	Prayer potion(1)
3 doses of super Attack potion.		examine	item	Super attack(3)
2 doses of super Attack potion.		examine	item	Super attack(2)
1 dose of super Attack potion.		examine	item	Super attack(1)
3 doses of Fishing potion.		examine	item	Fishing potion(3)
2 doses of Fishing potion.		examine	item	Fishing potion(2)
1 dose of Fishing potion.		examine	item	Fishing potion(1)
3 doses of super Strength potion.		examine	item	Super strength(3)
2 doses of super Strength potion.		examine	item	Super strength(2)
1 dose of super Strength potion.		examine	item	Super strength(1)
3 doses of super Defence potion.		examine	item	Super defence(3)
2 doses of super Defence potion.		examine	item	Super defence(2)
1 dose of super Defence potion.		examine	item	Super defence(1)
3 doses of ranging potion.		examine	item	Ranging potion(3)
2 doses of ranging potion.		examine	item	Ranging potion(2)
1 dose of ranging potion.		examine	item	Ranging potion(1)
3 doses of antipoison potion.		examine	item	Antipoison(3)
2 doses of antipoison potion.		examine	item	Antipoison(2)
1 dose of antipoison potion.		examine	item	Antipoison(1)
3 doses of super antipoison potion.		examine	item	Superantipoison(3)
2 doses of super antipoison potion.		examine	item	Superantipoison(2)
1 dose of super antipoison potion.		examine	item	Superantipoison(1)
For use on daggers and projectiles.		examine	item	Weapon poison
3 doses of Zamorak brew.		examine	item	Zamorak brew(3)
2 doses of Zamorak brew.		examine	item	Zamorak brew(2)
1 dose of Zamorak brew.		examine	item	Zamorak brew(1)
This is meant to be good for spots.		examine	item	Potion
A cup of a strange brew...		examine	item	Poison chalice
It needs cleaning.		examine	item	Grimy guam leaf
It seems to be looking at me.		examine	item	Eye of newt
Ewww!		examine	item	Red spiders' eggs
The root of a limpwurt plant.		examine	item	Limpwurt root
A glass vial containing water.		examine	item	Vial of water
An empty glass vial.		examine	item	Vial
Strange spiky grass.		examine	item	Snape grass
I can grind things for potions in this.		examine	item	Pestle and mortar
Finely ground horn of Unicorn.		examine	item	Unicorn horn dust
This horn has restorative properties.		examine	item	Unicorn horn
Sour berries, used in potions.		examine	item	White berries
Finely ground scale of Dragon.		examine	item	Dragon scale dust
A large shiny scale.		examine	item	Blue dragon scale
An evil wine for an evil god.		examine	item	Wine of zamorak
They don't look very ripe.		examine	item	Jangerberries
A bitter green herb.		examine	item	Guam leaf
A herb used in poison cures.		examine	item	Marrentill
A useful herb.		examine	item	Tarromin
A powerful herb.		examine	item	Kwuarm
It looks like part of a machine.		examine	item	Pressure gauge
Keeps your pet fish strong and healthy.		examine	item	Fish food
This stuff looks nasty.		examine	item	Poison
Doesn't seem very nice to the poor fishes.		examine	item	Poisoned fish food
A slightly smelly key (Used in the Ernest the Chicken quest).		examine	item	Key
It's slightly charred.		examine	item	Rubber tube
It's pretty full.		examine	item	Oil can
A sharp cattleprod.		examine	item	Cattleprod
Councillor Halgrive gave me this to kill some sheep.		examine	item	Sheep feed
The suspicious-looking remains of a suspicious-looking sheep.		examine	item	Sheep bones (1)
This should protect me from the plague, I hope!		examine	item	Plague jacket
These should protect me from the plague, I hope!		examine	item	Plague trousers
Some orange armour designed to fit goblins.		examine	item	Orange goblin mail
Some blue armour designed to fit goblins.		examine	item	Blue goblin mail
Some brown armour designed to fit goblins.		examine	item	Goblin mail
This contains some vital research.		examine	item	Research package
They seem to be written in some kind of code.		examine	item	Research notes
A book on elven history in northern Gielinor.		examine	item	Book on baxtorian
I found this in a cave beneath the Tree Gnome Village (used in the Waterfall Quest).		examine	item	Key
A small pebble with elven inscription.		examine	item	Glarial's pebble
A bright green gem set in a necklace.		examine	item	Glarial's amulet
An urn containing Glarial's ashes.		examine	item	Glarial's urn
An empty urn made for Glarial's ashes.		examine	item	Glarial's urn (empty)
I found this within Baxtorian Falls (used in the Waterfall Quest).		examine	item	Key
Magical seeds in a mithril case.		examine	item	Mithril seeds
A bit of rat.		examine	item	Rat's tail
Useful for catching lobsters.		examine	item	Lobster pot
Useful for catching small fish.		examine	item	Small fishing net
Useful for catching lots of fish.		examine	item	Big fishing net
Useful for catching sardine or herring.		examine	item	Fishing rod
Useful for catching salmon or trout.		examine	item	Fly fishing rod
Useful for catching really big fish.		examine	item	Harpoon
For use with a fishing rod.		examine	item	Fishing bait
Used for fly fishing.		examine	item	Feather
Some nicely cooked shrimp.		examine	item	Shrimps
I should try cooking this.		examine	item	Raw shrimps
Some nicely cooked anchovies.		examine	item	Anchovies
Oops!		examine	item	Burnt fish
Some nicely cooked sardines.		examine	item	Sardine
Some nicely cooked salmon.		examine	item	Salmon
Some nicely cooked trout.		examine	item	Trout
Some nicely cooked giant carp.		examine	item	Giant carp
Some nicely cooked cod.		examine	item	Cod
Some nicely cooked herring.		examine	item	Herring
Some nicely cooked pike.		examine	item	Pike
Some nicely cooked mackerel.		examine	item	Mackerel
Wow, this is a big fish.		examine	item	Tuna
I'd better be careful eating this!		examine	item	Swordfish
This looks tricky to eat.		examine	item	Lobster
I'd better be careful eating this.		examine	item	Shark
A rare catch.		examine	item	Raw manta ray
Tasty!		examine	item	Sea turtle
Slightly damp seaweed.		examine	item	Seaweed
I hope there's treasure in it.		examine	item	Casket
Maybe there are pearls inside?		examine	item	Oyster
Aww, it's empty.		examine	item	Empty oyster
I could work wonders with a chisel on this pearl.		examine	item	Oyster pearl
I could work wonders with a chisel on these pearls.		examine	item	Oyster pearls
An expensive colourless liquid.		examine	item	Ethenea
This isn't worth much.		examine	item	Liquid honey
It's highly poisonous.		examine	item	Sulphuric broline
Probably best I don't keep this too long.		examine	item	Plague sample
A special kind of paper.		examine	item	Touch paper
Apparently it distills.		examine	item	Distillator
Yup. It's an amulet.		examine	item	Lathas' amulet
Birds love this stuff!		examine	item	Bird feed
Opens things (Used in the Biohazard quest).		examine	item	Key
It's full of pigeons.		examine	item	Pigeon cage
It's empty...		examine	item	Pigeon cage
Top half of a priest suit.		examine	item	Priest gown
Bottom half of a priest suit.		examine	item	Priest gown
Medical looking.		examine	item	Medical gown
A very strong spirit brewed on Karamja.		examine	item	Karamjan rum
A key to One-Eyed Hector's chest (Used in the Pirate's Treasure quest).		examine	item	Chest key
Pirates don't have the best handwriting...		examine	item	Pirate message
Some hard dry clay.		examine	item	Clay
This needs refining.		examine	item	Copper ore
Hmm a non-renewable energy source!		examine	item	Coal
The official Alfred Grimhand bar crawl card.		examine	item	Barcrawl card
It's empty!		examine	item	Scorpion cage
There is 1 scorpion inside.		examine	item	Scorpion cage
There are 2 scorpions inside.		examine	item	Scorpion cage
There are 3 scorpions inside.		examine	item	Scorpion cage
I wonder what this tastes like?		examine	item	Strange fruit
Useless without the head.		examine	item	Pickaxe handle
Nurmof can fix this for me.		examine	item	Broken pickaxe
It's missing a handle.		examine	item	Bronze pick head
Bob can fix this for me.		examine	item	Broken axe
I don't fancy eating this now.		examine	item	Enchanted beef
Bones are for burying!		examine	item	Bones
Ew it's a pile of bones.		examine	item	Bat bones
These would feed a dog for months!		examine	item	Dragon bones
Keeps a druid's knees nice and warm.		examine	item	Druid's robe
I feel closer to the gods when I am wearing this.		examine	item	Druid's robe top
Keeps a monk's knees nice and warm.		examine	item	Monk's robe
If a shade had knees, this would keep them nice and warm.		examine	item	Shade robe
Issued to all new citizens of Gielinor.		examine	item	Newcomer map
It lets me talk to ghosts.		examine	item	Ghostspeak amulet
Ooooh spooky!		examine	item	Ghost's skull
One of the 4 basic elemental Runes.		examine	item	Fire rune
Used for basic level missile spells.		examine	item	Mind rune
Used for curse spells.		examine	item	Body rune
Used for medium level missile spells.		examine	item	Death rune
Used for alchemy spells.		examine	item	Nature rune
Used for low level missile spells.		examine	item	Chaos rune
Used for teleport spells.		examine	item	Law rune
Used for enchant spells.		examine	item	Cosmic rune
Used for high level missile spells.		examine	item	Blood rune
Used for high level curse spells.		examine	item	Soul rune
I'd prefer it if it was powered.		examine	item	Unpowered orb
A magic glowing orb.		examine	item	Fire orb
I can do magic better in this.		examine	item	Blue wizard robe
A silly pointed hat.		examine	item	Blue wizard hat
It's a bailing bucket.		examine	item	Bailing bucket
It's a bailing bucket full of salty water.		examine	item	Bailing bucket
A strange glowing green orb.		examine	item	Orb of protection
Two strange glowing green orbs.		examine	item	Orbs of protection
It's an amulet of protection given to me by the gnomes.		examine	item	Gnome amulet
Useful for lighting a fire.		examine	item	Tinderbox
A heap of ashes.		examine	item	Ashes
A lit home-made torch.		examine	item	Lit torch
An unlit home-made torch.		examine	item	Unlit torch
Arrows with bronze heads wrapped in oily cloth.		examine	item	Bronze fire arrow
A book on the history of astronomy.		examine	item	Astronomy book
A small key for a large door (Allows access to the goblin kitchen in the Observatory Dungeon).		examine	item	Goblin kitchen key
An unusual mould in the shape of a disc.		examine	item	Lens mould
A perfectly circular disc of glass.		examine	item	Observatory lens
A slender bone shard given to you by Zadimus.		examine	item	Bone shard
