english	translation	category	sub_category	source
Looks after your farming tools.		examine	npc	Tool Leprechaun
A strange mole-like being.		examine	npc	Molanisk
A very smelly ghost.		examine	npc	Aberrant spectre
An evil death demon.		examine	npc	Nechryael
Reminds me of playing pooh sticks.		examine	npc	Twig
An evil death spawn.		examine	npc	Death spawn
It's another jolly tree gnome.		examine	npc	Hudo
A fan of Niles, Miles and Giles.		examine	npc	Piles
It's a well dressed tree gnome.		examine	npc	Rometti
He sells weapons.		examine	npc	Gulluck
A carpet merchant.		examine	npc	Rug Merchant
A man who deals in rugs.		examine	npc	Rug Merchant
Perhaps our oldest relatives?		examine	npc	Monkey
Dead man walking.		examine	npc	Zombie
Dead woman walking.		examine	npc	Zombie
The walking dead.		examine	npc	Zombie
The living dead.		examine	npc	Summoned Zombie
Could do with gaining a few pounds.		examine	npc	Skeleton
An undead worker of dark magic.		examine	npc	Skeleton Mage
Eeek! A ghost!		examine	npc	Ghost
No one likes crabs...		examine	npc	Rock Crab
A rocky outcrop.		examine	npc	Rocks
Hello, nice doggy...		examine	npc	Hellhound
Not man's best friend.		examine	npc	Wolf
A vicious mountain wolf.		examine	npc	White wolf
Must be the pack leader.		examine	npc	Big Wolf
A social killer.		examine	npc	Wolf
Bow wow.		examine	npc	Dog
Looks like it's got Rabies!		examine	npc	Wild dog
An unsuitable pet.		examine	npc	Wild dog
He doesn't seem pleased to see me.		examine	npc	Guard dog
The Master of Fire!		examine	npc	Ignatius Vulcan
And with its head he came galumphing back.		examine	npc	Left head
I'm glad I can't see the rest of it!		examine	npc	Tentacle
He guards the dungeon with the faithfulness of the undead.		examine	npc	Skeleton
Beware of the dog!		examine	npc	Guard dog
He doesn't look very welcoming.		examine	npc	Hobgoblin
A pet Troll.		examine	npc	Troll
No spider could grow that big! It's unrealistic!		examine	npc	Huge spider
Good doggy...		examine	npc	Hellhound
He's full of pent-up aggression.		examine	npc	Ogre
Young, but still dangerous.		examine	npc	Baby red dragon
I don't think insect repellent will work...		examine	npc	Kalphite Soldier
Its scales seem to be made of steel.		examine	npc	Steel dragon
A darkened horror from the ocean depths.		examine	npc	Dagannoth
I don't like the look of those spines...		examine	npc	Tok-Xil
Arrgh! Look at its pointy teeth!		examine	npc	Demon
It's full of pent-up aggression.		examine	npc	Rocnar
Guess right or the mannequin gets it!		examine	npc	Hangman game
Have you tried 'E' yet?		examine	npc	Hangman game
Not doing very well, are you?		examine	npc	Hangman game
Be careful! One wrong move and he's had it!		examine	npc	Hangman game
Oh no! He's been hanged!		examine	npc	Hangman game
Where is she hiding the treasure?		examine	npc	Treasure fairy
A wacky Jester.		examine	npc	Jacky Jester
It's destroyed!		examine	npc	Combat stone
Try to damage it!		examine	npc	Combat stone
He wears a hat to hide the fact that he's bald.		examine	npc	Rick
Very neat.		examine	npc	Maid
I hope she can find all the ingredients!		examine	npc	Cook
He knows how to buttle.		examine	npc	Butler
Blimey, a Demon Butler!		examine	npc	Demon butler
A rare jungle wolf - specific to the Kharazi jungle.		examine	npc	Jungle Wolf
Beak areful with this one, he looks shifty!		examine	npc	Macaroni Penguin
