english	translation	category	sub_category	source
Big mysterious crate. You wonder what could be inside.		examine	object	Crate
Looks and smells like a place where goblins live.		examine	object	Cave Entrance
The door is closed.		examine	object	Door
A powerful ranging device, unfortunately not working.		examine	object	Broken multicannon
A powerful ranging device that fires metal balls.		examine	object	Dwarf multicannon
The cannon is built on here.		examine	object	Cannon base
The mounting for the multicannon.		examine	object	Cannon stand
The barrels of the multicannon.		examine	object	Cannon barrels
I can climb down this.		examine	object	Ladder
I can climb up this.		examine	object	Ladder
A pile of rocks is blocking my path.		examine	object	Rock pile
Mud caved in from above.		examine	object	Mud pile
Intended to keep the goblins away from the mines.		examine	object	Railing
A broken rail.		examine	object	Railing
Its eyes stare off into the distance...		examine	object	Mysterious statue
The door is shut.		examine	object	Door
Unusually lumpy looking.		examine	object	Sacks
Seems to be some kind of clock part.		examine	object	Clock spindle
Yup, definitely a lever.		examine	object	Lever
Stops people walking past.		examine	object	Gate
Animals have no table manners.		examine	object	Food trough
Looks like an outlet pipe to the lake.		examine	object	Wall Pipe
I can see fish swimming in the water.		examine	object	Fishing spot
It seems to sparkle.		examine	object	Water
I can see really big fish swimming in the water.		examine	object	Fishing spot
Big Dave is fishing here.		examine	object	Fishing spot
Joshua is fishing here.		examine	object	Fishing spot
A wooden gate.		examine	object	Gate
Hmm... I wonder if it's loose enough to get through.		examine	object	Loose Railing
It's locked.		examine	object	Gate
It's a flight of stairs.		examine	object	Stairs
Known commonly as Red worm vine.		examine	object	Vine
A fancy hole in the wall.		examine	object	Door
A fancy hole in the ceiling.		examine	object	Ladder
A shrine to chaos.		examine	object	Chaos altar
Is there something in there?		examine	object	Giant crystal
Used for storage.		examine	object	Crate
Where bees live.		examine	object	Beehive
Handy for boarding boats.		examine	object	Gangplank
Sturdy looking door.		examine	object	Large door
Securely fastened shut.		examine	object	Large door
I wonder what's inside...		examine	object	Chest
Looks secure.		examine	object	Prison Gate
Seems very old...		examine	object	Lever bracket
I guess you pull it...		examine	object	Lever
A wrought iron gate.		examine	object	Gate
I don't like the look of this!		examine	object	Lever
A dark flight of stairs.		examine	object	Stairs
Don't you open that trapdoor!		examine	object	Trapdoor
I can climb this.		examine	object	Ladder
A sturdy door.		examine	object	Door
I wonder what's inside.		examine	object	Closed chest
Perhaps I should search it.		examine	object	Open chest
I wonder what that's there for...		examine	object	Trapdoor
An appliance for cooking with.		examine	object	Cooking range
A party balloon.		examine	object	Party Balloon
Aren't they pretty?		examine	object	Party Balloon
Paaaarty!		examine	object	Party Balloon
An escape route.		examine	object	Ladder
Looks spooky down there.		examine	object	Ladder
A large double door.		examine	object	Large door
Smelly.		examine	object	Compost heap
An ornate fountain.		examine	object	Fountain
It looks possible to scramble up the wall here, with skill.		examine	object	Rocks
Lots of books.		examine	object	Bookcase
This wall looks odd...		examine	object	Wall
I wonder what this does...		examine	object	Lever
I'm not touching that.		examine	object	Strange machine
A special furnace for destroying contaminated items.		examine	object	Incinerator
Fly Gnome Air.		examine	object	Gnome glider
Probably pilot error.		examine	object	Crashed glider
