english	translation	category	sub_category	source
Dwarf remains		name	item	Dwarf remains
Toolkit		name	item	Toolkit
Cannonball		name	item	Cannonball
Nulodion's notes		name	item	Nulodion's notes
Ammo mould		name	item	Ammo mould
Instruction manual		name	item	Instruction manual
Cannon base		name	item	Cannon base
Cannon stand		name	item	Cannon stand
Cannon barrels		name	item	Cannon barrels
Cannon furnace		name	item	Cannon furnace
Railing		name	item	Railing
Holy table napkin		name	item	Holy table napkin
Magic whistle		name	item	Magic whistle
Grail bell		name	item	Grail bell
Magic gold feather		name	item	Magic gold feather
Holy grail		name	item	Holy grail
White cog		name	item	White cog
Black cog		name	item	Black cog
Blue cog		name	item	Blue cog
Red cog		name	item	Red cog
Rat poison		name	item	Rat poison
Red vine worm		name	item	Red vine worm
Fishing trophy		name	item	Fishing trophy
Fishing pass		name	item	Fishing pass
Insect repellent		name	item	Insect repellent
Bucket of wax		name	item	Bucket of wax
Lit black candle		name	item	Lit black candle
Lit candle		name	item	Lit candle
Excalibur		name	item	Excalibur
Candle		name	item	Candle
Black candle		name	item	Black candle
Bronze arrowtips		name	item	Bronze arrowtips
Iron arrowtips		name	item	Iron arrowtips
Steel arrowtips		name	item	Steel arrowtips
Mithril arrowtips		name	item	Mithril arrowtips
Adamant arrowtips		name	item	Adamant arrowtips
Rune arrowtips		name	item	Rune arrowtips
Opal bolt tips		name	item	Opal bolt tips
Pearl bolt tips		name	item	Pearl bolt tips
Barb bolttips		name	item	Barb bolttips
Longbow (u)		name	item	Longbow (u)
Shortbow (u)		name	item	Shortbow (u)
Arrow shaft		name	item	Arrow shaft
Headless arrow		name	item	Headless arrow
Oak shortbow (u)		name	item	Oak shortbow (u)
Oak longbow (u)		name	item	Oak longbow (u)
Willow longbow (u)		name	item	Willow longbow (u)
Willow shortbow (u)		name	item	Willow shortbow (u)
Maple longbow (u)		name	item	Maple longbow (u)
Maple shortbow (u)		name	item	Maple shortbow (u)
Yew longbow (u)		name	item	Yew longbow (u)
Yew shortbow (u)		name	item	Yew shortbow (u)
Magic longbow (u)		name	item	Magic longbow (u)
Magic shortbow (u)		name	item	Magic shortbow (u)
Khazard helmet		name	item	Khazard helmet
Khazard armour		name	item	Khazard armour
Khazard cell keys		name	item	Khazard cell keys
Khali brew		name	item	Khali brew
Ice arrows		name	item	Ice arrows
Lever		name	item	Lever
Staff of armadyl		name	item	Staff of armadyl
Shiny key		name	item	Shiny key
Pendant of lucien		name	item	Pendant of lucien
Armadyl pendant		name	item	Armadyl pendant
Boots of lightness		name	item	Boots of lightness
Child's blanket		name	item	Child's blanket
Guam potion (unf)		name	item	Guam potion (unf)
Marrentill potion (unf)		name	item	Marrentill potion (unf)
Tarromin potion (unf)		name	item	Tarromin potion (unf)
Harralander potion (unf)		name	item	Harralander potion (unf)
Ranarr potion (unf)		name	item	Ranarr potion (unf)
Irit potion (unf)		name	item	Irit potion (unf)
Avantoe potion (unf)		name	item	Avantoe potion (unf)
Kwuarm potion (unf)		name	item	Kwuarm potion (unf)
Cadantine potion (unf)		name	item	Cadantine potion (unf)
Dwarf weed potion (unf)		name	item	Dwarf weed potion (unf)
Torstol potion (unf)		name	item	Torstol potion (unf)
Strength potion(4)		name	item	Strength potion(4)
Strength potion(3)		name	item	Strength potion(3)
Strength potion(2)		name	item	Strength potion(2)
Strength potion(1)		name	item	Strength potion(1)
Attack potion(3)		name	item	Attack potion(3)
Attack potion(2)		name	item	Attack potion(2)
Attack potion(1)		name	item	Attack potion(1)
Restore potion(3)		name	item	Restore potion(3)
Restore potion(2)		name	item	Restore potion(2)
Restore potion(1)		name	item	Restore potion(1)
Defence potion(3)		name	item	Defence potion(3)
Defence potion(2)		name	item	Defence potion(2)
Defence potion(1)		name	item	Defence potion(1)
Prayer potion(3)		name	item	Prayer potion(3)
Prayer potion(2)		name	item	Prayer potion(2)
Prayer potion(1)		name	item	Prayer potion(1)
Super attack(3)		name	item	Super attack(3)
Super attack(2)		name	item	Super attack(2)
Super attack(1)		name	item	Super attack(1)
Fishing potion(3)		name	item	Fishing potion(3)
Fishing potion(2)		name	item	Fishing potion(2)
Fishing potion(1)		name	item	Fishing potion(1)
Super strength(3)		name	item	Super strength(3)
Super strength(2)		name	item	Super strength(2)
Super strength(1)		name	item	Super strength(1)
Super defence(3)		name	item	Super defence(3)
Super defence(2)		name	item	Super defence(2)
Super defence(1)		name	item	Super defence(1)
Ranging potion(3)		name	item	Ranging potion(3)
Ranging potion(2)		name	item	Ranging potion(2)
Ranging potion(1)		name	item	Ranging potion(1)
Antipoison(3)		name	item	Antipoison(3)
Antipoison(2)		name	item	Antipoison(2)
Antipoison(1)		name	item	Antipoison(1)
Superantipoison(3)		name	item	Superantipoison(3)
Superantipoison(2)		name	item	Superantipoison(2)
Superantipoison(1)		name	item	Superantipoison(1)
Weapon poison		name	item	Weapon poison
Zamorak brew(3)		name	item	Zamorak brew(3)
Zamorak brew(2)		name	item	Zamorak brew(2)
Zamorak brew(1)		name	item	Zamorak brew(1)
Potion		name	item	Potion
Poison chalice		name	item	Poison chalice
Grimy guam leaf		name	item	Grimy guam leaf
Grimy marrentill		name	item	Grimy marrentill
Grimy tarromin		name	item	Grimy tarromin
Grimy harralander		name	item	Grimy harralander
Grimy ranarr weed		name	item	Grimy ranarr weed
Grimy irit leaf		name	item	Grimy irit leaf
Grimy avantoe		name	item	Grimy avantoe
Grimy kwuarm		name	item	Grimy kwuarm
Grimy cadantine		name	item	Grimy cadantine
Grimy dwarf weed		name	item	Grimy dwarf weed
Grimy torstol		name	item	Grimy torstol
Eye of newt		name	item	Eye of newt
Red spiders' eggs		name	item	Red spiders' eggs
Limpwurt root		name	item	Limpwurt root
Vial of water		name	item	Vial of water
Vial		name	item	Vial
Snape grass		name	item	Snape grass
Pestle and mortar		name	item	Pestle and mortar
Unicorn horn dust		name	item	Unicorn horn dust
Unicorn horn		name	item	Unicorn horn
White berries		name	item	White berries
Dragon scale dust		name	item	Dragon scale dust
Blue dragon scale		name	item	Blue dragon scale
Wine of zamorak		name	item	Wine of zamorak
Jangerberries		name	item	Jangerberries
Guam leaf		name	item	Guam leaf
Marrentill		name	item	Marrentill
Tarromin		name	item	Tarromin
Harralander		name	item	Harralander
Ranarr weed		name	item	Ranarr weed
Irit leaf		name	item	Irit leaf
Avantoe		name	item	Avantoe
Kwuarm		name	item	Kwuarm
Cadantine		name	item	Cadantine
Dwarf weed		name	item	Dwarf weed
Torstol		name	item	Torstol
Pressure gauge		name	item	Pressure gauge
Fish food		name	item	Fish food
Poison		name	item	Poison
Poisoned fish food		name	item	Poisoned fish food
Key		name	item	Key
Rubber tube		name	item	Rubber tube
Oil can		name	item	Oil can
Cattleprod		name	item	Cattleprod
Sheep feed		name	item	Sheep feed
Sheep bones (1)		name	item	Sheep bones (1)
Sheep bones (2)		name	item	Sheep bones (2)
Sheep bones (3)		name	item	Sheep bones (3)
Sheep bones (4)		name	item	Sheep bones (4)
Plague jacket		name	item	Plague jacket
Plague trousers		name	item	Plague trousers
Orange goblin mail		name	item	Orange goblin mail
Blue goblin mail		name	item	Blue goblin mail
Goblin mail		name	item	Goblin mail
Research package		name	item	Research package
Research notes		name	item	Research notes
Book on baxtorian		name	item	Book on baxtorian
Glarial's pebble		name	item	Glarial's pebble
Glarial's amulet		name	item	Glarial's amulet
Glarial's urn		name	item	Glarial's urn
Glarial's urn (empty)		name	item	Glarial's urn (empty)
Mithril seeds		name	item	Mithril seeds
Rat's tail		name	item	Rat's tail
Lobster pot		name	item	Lobster pot
Small fishing net		name	item	Small fishing net
Big fishing net		name	item	Big fishing net
Fishing rod		name	item	Fishing rod
Fly fishing rod		name	item	Fly fishing rod
Harpoon		name	item	Harpoon
Fishing bait		name	item	Fishing bait
Feather		name	item	Feather
Shrimps		name	item	Shrimps
Raw shrimps		name	item	Raw shrimps
Anchovies		name	item	Anchovies
Raw anchovies		name	item	Raw anchovies
Burnt fish		name	item	Burnt fish
Sardine		name	item	Sardine
Raw sardine		name	item	Raw sardine
Salmon		name	item	Salmon
Raw salmon		name	item	Raw salmon
Trout		name	item	Trout
Raw trout		name	item	Raw trout
Giant carp		name	item	Giant carp
Raw giant carp		name	item	Raw giant carp
Cod		name	item	Cod
