english	translation	category	sub_category	source
Redemption		name	menu	prayerTab
Protect Item		name	menu	prayerTab
Incredible Reflexes		name	menu	prayerTab
Sharp Eye		name	menu	prayerTab
Mystic Will		name	menu	prayerTab
Rock Skin		name	menu	prayerTab
Protect from Magic		name	menu	prayerTab
Protect from Missiles		name	menu	prayerTab
Protect from Melee		name	menu	prayerTab
Thick Skin		name	menu	prayerTab
Retribution		name	menu	prayerTab
Mystic Might		name	menu	prayerTab
Eagle Eye		name	menu	prayerTab
Piety		name	menu	prayerTab
Ultimate Strength		name	menu	prayerTab
Improved Reflexes		name	menu	prayerTab
Burst of Strength		name	menu	prayerTab
Mystic Lore		name	menu	prayerTab
Augury		name	menu	prayerTab
Hawk Eye		name	menu	prayerTab
Chivalry		name	menu	prayerTab
Superhuman Strength		name	menu	prayerTab
Rigour		name	menu	prayerTab
Smite		name	menu	prayerTab
Preserve		name	menu	prayerTab
Clarity of Thought		name	menu	prayerTab
Rapid Restore		name	menu	prayerTab
Rapid Heal		name	menu	prayerTab
Steel Skin		name	menu	prayerTab
Lumbridge Home Teleport		name	menu	spellBookTab
Wind Strike		name	menu	spellBookTab
Confuse		name	menu	spellBookTab
Crossbow Bolt Enchantments		name	menu	spellBookTab
Water Strike		name	menu	spellBookTab
Jewellery Enchantments		name	menu	spellBookTab
Earth Strike		name	menu	spellBookTab
Telekinetic Grab		name	menu	spellBookTab
Bind		name	menu	spellBookTab
Curse		name	menu	spellBookTab
Wind Bolt		name	menu	spellBookTab
Bones to Bananas		name	menu	spellBookTab
Fire Strike		name	menu	spellBookTab
Weaken		name	menu	spellBookTab
Low Level Alchemy		name	menu	spellBookTab
Water Bolt		name	menu	spellBookTab
Varrock Teleport		name	menu	spellBookTab
Earth Bolt		name	menu	spellBookTab
Lumbridge Teleport		name	menu	spellBookTab
Fire Bolt		name	menu	spellBookTab
Falador Teleport		name	menu	spellBookTab
Kourend Castle Teleport		name	menu	spellBookTab
Water Blast		name	menu	spellBookTab
Camelot Teleport		name	menu	spellBookTab
Superheat Item		name	menu	spellBookTab
Wind Blast		name	menu	spellBookTab
Teleport to House		name	menu	spellBookTab
Crumble Undead		name	menu	spellBookTab
Iban Blast		name	menu	spellBookTab
Snare		name	menu	spellBookTab
Magic Dart		name	menu	spellBookTab
Ardougne Teleport		name	menu	spellBookTab
Earth Blast		name	menu	spellBookTab
Civitas illa Fortis Teleport		name	menu	spellBookTab
High Level Alchemy		name	menu	spellBookTab
Charge Water Orb		name	menu	spellBookTab
Watchtower Teleport		name	menu	spellBookTab
Fire Blast		name	menu	spellBookTab
Charge Earth Orb		name	menu	spellBookTab
Bones to Peaches		name	menu	spellBookTab
Saradomin Strike		name	menu	spellBookTab
Claws of Guthix		name	menu	spellBookTab
Flames of Zamorak		name	menu	spellBookTab
Trollheim Teleport		name	menu	spellBookTab
Wind Wave		name	menu	spellBookTab
Charge Fire Orb		name	menu	spellBookTab
Ape Atoll Teleport		name	menu	spellBookTab
Water Wave		name	menu	spellBookTab
Charge Air Orb		name	menu	spellBookTab
Vulnerability		name	menu	spellBookTab
Earth Wave		name	menu	spellBookTab
Enfeeble		name	menu	spellBookTab
Teleother Lumbridge		name	menu	spellBookTab
Fire Wave		name	menu	spellBookTab
Entangle		name	menu	spellBookTab
Stun		name	menu	spellBookTab
Teleother Camelot		name	menu	spellBookTab
Teleport to Target		name	menu	spellBookTab
Tele Block		name	menu	spellBookTab
Water Surge		name	menu	spellBookTab
Teleother Falador		name	menu	spellBookTab
Wind Surge		name	menu	spellBookTab
Charge		name	menu	spellBookTab
Earth Surge		name	menu	spellBookTab
Fire Surge		name	menu	spellBookTab
Edgeville Home Teleport		name	menu	spellBookTab
Smoke Rush		name	menu	spellBookTab
Shadow Rush		name	menu	spellBookTab
Paddewwa Teleport		name	menu	spellBookTab
Smoke Burst		name	menu	spellBookTab
Senntisten Teleport		name	menu	spellBookTab
Ice Rush		name	menu	spellBookTab
Blood Rush		name	menu	spellBookTab
Shadow Burst		name	menu	spellBookTab
Kharyrll Teleport		name	menu	spellBookTab
Blood Burst		name	menu	spellBookTab
Ice Burst		name	menu	spellBookTab
Dareeyak Teleport		name	menu	spellBookTab
Shadow Blitz		name	menu	spellBookTab
Smoke Blitz		name	menu	spellBookTab
Lassar Teleport		name	menu	spellBookTab
Blood Blitz		name	menu	spellBookTab
Ice Blitz		name	menu	spellBookTab
Carrallanger Teleport		name	menu	spellBookTab
Blood Barrage		name	menu	spellBookTab
Annakarl Teleport		name	menu	spellBookTab
Shadow Barrage		name	menu	spellBookTab
Smoke Barrage		name	menu	spellBookTab
Ice Barrage		name	menu	spellBookTab
Ghorrock Teleport		name	menu	spellBookTab
Lunar Home Teleport		name	menu	spellBookTab
Bake Pie		name	menu	spellBookTab
Geomancy		name	menu	spellBookTab
Cure Plant		name	menu	spellBookTab
Monster Examine		name	menu	spellBookTab
NPC Contact		name	menu	spellBookTab
Cure Other		name	menu	spellBookTab
Humidify		name	menu	spellBookTab
Moonclan Teleport		name	menu	spellBookTab
Tele Group Moonclan		name	menu	spellBookTab
Cure Me		name	menu	spellBookTab
Ourania Teleport		name	menu	spellBookTab
Hunter Kit		name	menu	spellBookTab
Waterbirth Teleport		name	menu	spellBookTab
Tele Group Waterbirth		name	menu	spellBookTab
Cure Group		name	menu	spellBookTab
Stat Spy		name	menu	spellBookTab
Barbarian Teleport		name	menu	spellBookTab
Tele Group Barbarian		name	menu	spellBookTab
Spin Flax		name	menu	spellBookTab
Superglass Make		name	menu	spellBookTab
Tan Leather		name	menu	spellBookTab
Khazard Teleport		name	menu	spellBookTab
Tele Group Khazard		name	menu	spellBookTab
Dream		name	menu	spellBookTab
String Jewellery		name	menu	spellBookTab
Stat Restore Pot Share		name	menu	spellBookTab
Magic Imbue		name	menu	spellBookTab
Fertile Soil		name	menu	spellBookTab
Boost Potion Share		name	menu	spellBookTab
Fishing Guild Teleport		name	menu	spellBookTab
Tele Group Fishing Guild		name	menu	spellBookTab
Plank Make		name	menu	spellBookTab
Catherby Teleport		name	menu	spellBookTab
Tele Group Catherby		name	menu	spellBookTab
Recharge Dragonstone		name	menu	spellBookTab
Ice Plateau Teleport		name	menu	spellBookTab
Tele Group Ice Plateau		name	menu	spellBookTab
Energy Transfer		name	menu	spellBookTab
Heal Other		name	menu	spellBookTab
Vengeance Other		name	menu	spellBookTab
Vengeance		name	menu	spellBookTab
Heal Group		name	menu	spellBookTab
Spellbook Swap		name	menu	spellBookTab
Arceuus Home Teleport		name	menu	spellBookTab
Arceuus Library Teleport		name	menu	spellBookTab
Basic Reanimation		name	menu	spellBookTab
Draynor Manor Teleport		name	menu	spellBookTab
Battlefront Teleport		name	menu	spellBookTab
Mind Altar Teleport		name	menu	spellBookTab
Respawn Teleport		name	menu	spellBookTab
Ghostly Grasp		name	menu	spellBookTab
Resurrect Lesser Ghost		name	menu	spellBookTab
Resurrect Lesser Skeleton		name	menu	spellBookTab
Resurrect Lesser Zombie		name	menu	spellBookTab
Salve Graveyard Teleport		name	menu	spellBookTab
Adept Reanimation		name	menu	spellBookTab
Inferior Demonbane		name	menu	spellBookTab
Shadow Veil		name	menu	spellBookTab
Fenkenstrain's Castle Teleport		name	menu	spellBookTab
Dark Lure		name	menu	spellBookTab
Skeletal Grasp		name	menu	spellBookTab
Resurrect Superior Ghost		name	menu	spellBookTab
Resurrect Superior Skeleton		name	menu	spellBookTab
Resurrect Superior Zombie		name	menu	spellBookTab
Mark of Darkness		name	menu	spellBookTab
West Ardougne Teleport		name	menu	spellBookTab
Superior Demonbane		name	menu	spellBookTab
Lesser Corruption		name	menu	spellBookTab
Harmony Island Teleport		name	menu	spellBookTab
Vile Vigour		name	menu	spellBookTab
Degrime		name	menu	spellBookTab
Cemetery Teleport		name	menu	spellBookTab
Expert Reanimation		name	menu	spellBookTab
Ward of Arceuus		name	menu	spellBookTab
Resurrect Greater Ghost		name	menu	spellBookTab
Resurrect Greater Skeleton		name	menu	spellBookTab
Resurrect Greater Zombie		name	menu	spellBookTab
Resurrect Crops		name	menu	spellBookTab
Undead Grasp		name	menu	spellBookTab
Death Charge		name	menu	spellBookTab
Dark Demonbane		name	menu	spellBookTab
Barrows Teleport		name	menu	spellBookTab
Demonic Offering		name	menu	spellBookTab
Greater Corruption		name	menu	spellBookTab
Master Reanimation		name	menu	spellBookTab
Sinister Offering		name	menu	spellBookTab
Ardougne Elite Diary		name	menu	achievementDiaryTab
Ardougne Hard Diary		name	menu	achievementDiaryTab
Ardougne Medium Diary		name	menu	achievementDiaryTab
Ardougne Easy Diary		name	menu	achievementDiaryTab
Desert Elite Diary		name	menu	achievementDiaryTab
Desert Hard Diary		name	menu	achievementDiaryTab
Desert Medium Diary		name	menu	achievementDiaryTab
Desert Easy Diary		name	menu	achievementDiaryTab
Falador Elite Diary		name	menu	achievementDiaryTab
Falador Hard Diary		name	menu	achievementDiaryTab
Falador Medium Diary		name	menu	achievementDiaryTab
Falador Easy Diary		name	menu	achievementDiaryTab
Fremennik Elite Diary		name	menu	achievementDiaryTab
Fremennik Hard Diary		name	menu	achievementDiaryTab
Fremennik Medium Diary		name	menu	achievementDiaryTab
Fremennik Easy Diary		name	menu	achievementDiaryTab
Kandarin Elite Diary		name	menu	achievementDiaryTab
Kandarin Hard Diary		name	menu	achievementDiaryTab
Kandarin Medium Diary		name	menu	achievementDiaryTab
Kandarin Easy Diary		name	menu	achievementDiaryTab
Karamja Elite Diary		name	menu	achievementDiaryTab
Karamja Hard Diary		name	menu	achievementDiaryTab
Karamja Medium Diary		name	menu	achievementDiaryTab
Karamja Easy Diary		name	menu	achievementDiaryTab
Kourend & Kebos Elite Diary		name	menu	achievementDiaryTab
Kourend & Kebos Hard Diary		name	menu	achievementDiaryTab
Kourend & Kebos Medium Diary		name	menu	achievementDiaryTab
Kourend & Kebos Easy Diary		name	menu	achievementDiaryTab
Lumbridge & Draynor Elite Diary		name	menu	achievementDiaryTab
Lumbridge & Draynor Hard Diary		name	menu	achievementDiaryTab
Lumbridge & Draynor Medium Diary		name	menu	achievementDiaryTab
Lumbridge & Draynor Easy Diary		name	menu	achievementDiaryTab
Morytania Elite Diary		name	menu	achievementDiaryTab
Morytania Hard Diary		name	menu	achievementDiaryTab
Morytania Medium Diary		name	menu	achievementDiaryTab
Morytania Easy Diary		name	menu	achievementDiaryTab
Varrock Elite Diary		name	menu	achievementDiaryTab
Varrock Hard Diary		name	menu	achievementDiaryTab
Varrock Medium Diary		name	menu	achievementDiaryTab
Varrock Easy Diary		name	menu	achievementDiaryTab
Western Provinces Elite Diary		name	menu	achievementDiaryTab
Western Provinces Hard Diary		name	menu	achievementDiaryTab
Western Provinces Medium Diary		name	menu	achievementDiaryTab
Western Provinces Easy Diary		name	menu	achievementDiaryTab
Wilderness Elite Diary		name	menu	achievementDiaryTab
Wilderness Hard Diary		name	menu	achievementDiaryTab
Wilderness Medium Diary		name	menu	achievementDiaryTab
Wilderness Easy Diary		name	menu	achievementDiaryTab
Old School Website		name	menu	accountManagementTab
Customer Support		name	menu	accountManagementTab
Grand Exchange		name	menu	accountManagementTab
Hiscores		name	menu	accountManagementTab
Old School Wiki		name	menu	accountManagementTab
Merchandise		name	menu	accountManagementTab
<col=ff9040>PvP Arena</col> options		name	menu	groupTab
Music		name	menu	settingsTab
Sound Effects		name	menu	settingsTab
Area Sounds		name	menu	settingsTab
XP drops		name	menu	
Quick-prayers		name	menu	
Special Attack		name	menu	
Instance Map		name	menu	
Ground Markers		name	menu	
Wiki		name	menu	
Attack		name	menu	
Hitpoints		name	menu	
Mining		name	menu	
Strength		name	menu	
Agility		name	menu	
Smithing		name	menu	
Defence		name	menu	
Herblore		name	menu	
Fishing		name	menu	
Ranged		name	menu	
Thieving		name	menu	
Cooking		name	menu	
Prayer		name	menu	
Crafting		name	menu	
Firemaking		name	menu	
Magic		name	menu	
Fletching		name	menu	
Woodcutting		name	menu	
Runecraft		name	menu	
Slayer		name	menu	
Farming		name	menu	
Construction		name	menu	
Hunter		name	menu	
Search		name	menu	
