english	translation	category	sub_category	source
Tool Leprechaun		name	npc	Tool Leprechaun
Molanisk		name	npc	Molanisk
Aberrant spectre		name	npc	Aberrant spectre
Nechryael		name	npc	Nechryael
Twig		name	npc	Twig
Death spawn		name	npc	Death spawn
Hudo		name	npc	Hudo
Piles		name	npc	Piles
Rometti		name	npc	Rometti
Gulluck		name	npc	Gulluck
Heckel Funch		name	npc	Heckel Funch
Rug Merchant		name	npc	Rug Merchant
Monkey		name	npc	Monkey
Zombie		name	npc	Zombie
Summoned Zombie		name	npc	Summoned Zombie
Skeleton		name	npc	Skeleton
Skeleton Mage		name	npc	Skeleton Mage
Ghost		name	npc	Ghost
Rock Crab		name	npc	Rock Crab
Rocks		name	npc	Rocks
Hellhound		name	npc	Hellhound
Wolf		name	npc	Wolf
White wolf		name	npc	White wolf
Big Wolf		name	npc	Big Wolf
Dog		name	npc	Dog
Wild dog		name	npc	Wild dog
Guard dog		name	npc	Guard dog
Ignatius Vulcan		name	npc	Ignatius Vulcan
Aggie		name	npc	Aggie
Yama		name	npc	Yama
Left head		name	npc	Left head
Middle head		name	npc	Middle head
Right head		name	npc	Right head
Kalphite Queen		name	npc	Kalphite Queen
Tentacle		name	npc	Tentacle
Hobgoblin		name	npc	Hobgoblin
Troll		name	npc	Troll
Huge spider		name	npc	Huge spider
Ogre		name	npc	Ogre
Baby red dragon		name	npc	Baby red dragon
Kalphite Soldier		name	npc	Kalphite Soldier
Steel dragon		name	npc	Steel dragon
Dagannoth		name	npc	Dagannoth
Tok-Xil		name	npc	Tok-Xil
Demon		name	npc	Demon
Rocnar		name	npc	Rocnar
Hangman game		name	npc	Hangman game
Treasure fairy		name	npc	Treasure fairy
Jacky Jester		name	npc	Jacky Jester
Combat stone		name	npc	Combat stone
Rick		name	npc	Rick
Maid		name	npc	Maid
Cook		name	npc	Cook
Butler		name	npc	Butler
Demon butler		name	npc	Demon butler
Jungle Wolf		name	npc	Jungle Wolf
Macaroni Penguin		name	npc	Macaroni Penguin
Butterfly		name	npc	Butterfly
King Black Dragon		name	npc	King Black Dragon
Black demon		name	npc	Black demon
Baby blue dragon		name	npc	Baby blue dragon
Red dragon		name	npc	Red dragon
Black dragon		name	npc	Black dragon
Green dragon		name	npc	Green dragon
