english	translation	category	sub_category	source
Crate		name	object	Crate
Cave Entrance		name	object	Cave Entrance
Door		name	object	Door
Broken multicannon		name	object	Broken multicannon
Dwarf multicannon		name	object	Dwarf multicannon
Cannon base		name	object	Cannon base
Cannon stand		name	object	Cannon stand
Cannon barrels		name	object	Cannon barrels
Ladder		name	object	Ladder
Rock pile		name	object	Rock pile
Mud pile		name	object	Mud pile
Railing		name	object	Railing
Mysterious statue		name	object	Mysterious statue
Sacks		name	object	Sacks
Clock spindle		name	object	Clock spindle
Lever		name	object	Lever
Gate		name	object	Gate
Food trough		name	object	Food trough
Wall Pipe		name	object	Wall Pipe
Fishing spot		name	object	Fishing spot
Water		name	object	Water
Loose Railing		name	object	Loose Railing
Stairs		name	object	Stairs
Vine		name	object	Vine
Chaos altar		name	object	Chaos altar
Giant crystal		name	object	Giant crystal
Beehive		name	object	Beehive
Gangplank		name	object	Gangplank
Large door		name	object	Large door
Chest		name	object	Chest
Prison Gate		name	object	Prison Gate
Lever bracket		name	object	Lever bracket
Trapdoor		name	object	Trapdoor
Closed chest		name	object	Closed chest
Open chest		name	object	Open chest
Cooking range		name	object	Cooking range
Party Balloon		name	object	Party Balloon
Compost heap		name	object	Compost heap
Fountain		name	object	Fountain
Rocks		name	object	Rocks
Bookcase		name	object	Bookcase
Wall		name	object	Wall
Strange machine		name	object	Strange machine
Incinerator		name	object	Incinerator
Gnome glider		name	object	Gnome glider
Crashed glider		name	object	Crashed glider
Blurberry bar		name	object	Blurberry bar
Hollowed rock		name	object	Hollowed rock
Lamp		name	object	Lamp
Candles		name	object	Candles
Chandelier		name	object	Chandelier
Ice Light		name	object	Ice Light
Sail		name	object	Sail
Figurehead		name	object	Figurehead
Pile of rope		name	object	Pile of rope
Ship's ladder		name	object	Ship's ladder
Ship's wheel		name	object	Ship's wheel
Winch		name	object	Winch
Anchor		name	object	Anchor
Hoisted sail		name	object	Hoisted sail
Plough		name	object	Plough
Scarecrow		name	object	Scarecrow
Hay bales		name	object	Hay bales
Haystack		name	object	Haystack
Eggs		name	object	Eggs
Compost		name	object	Compost
Hay bale		name	object	Hay bale
Broken cart		name	object	Broken cart
Cart		name	object	Cart
Log pile		name	object	Log pile
Mud patch		name	object	Mud patch
Mudpile		name	object	Mudpile
Potato		name	object	Potato
Wheat		name	object	Wheat
Broken cart wheel		name	object	Broken cart wheel
Cabinet		name	object	Cabinet
Drawers		name	object	Drawers
Boxes		name	object	Boxes
Barrel		name	object	Barrel
Cupboard		name	object	Cupboard
Large cupboard		name	object	Large cupboard
Open Cupboard		name	object	Open Cupboard
Large open cupboard		name	object	Large open cupboard
Dresser		name	object	Dresser
Hat stand		name	object	Hat stand
Basket		name	object	Basket
Large urn		name	object	Large urn
Bookshelves		name	object	Bookshelves
Wardrobe		name	object	Wardrobe
Full fishing net		name	object	Full fishing net
Pot		name	object	Pot
Pots		name	object	Pots
Coffin		name	object	Coffin
Small gravestone		name	object	Small gravestone
Grave marker		name	object	Grave marker
Tombstone		name	object	Tombstone
Large grave stone		name	object	Large grave stone
Gravestone		name	object	Gravestone
Large grave		name	object	Large grave
Henge		name	object	Henge
Altar		name	object	Altar
Altar of Guthix		name	object	Altar of Guthix
Dolmen		name	object	Dolmen
Church organ		name	object	Church organ
Bed		name	object	Bed
Hammock		name	object	Hammock
Chaise lounge		name	object	Chaise lounge
Crevice		name	object	Crevice
